Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,"Power:package-0,0","Power:core,0","Power:dram,0"
2023-09-27_06:33:38,27.8,29.8,74.0,42.0,37.0,74.0,38.0,42.0,39.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.6,1.5,4.0,100.0,4.0,2.0,5.0,40.0,34.0,1.2
2023-09-27_06:33:40,27.8,29.8,73.0,43.0,38.0,74.0,38.0,41.0,39.0,35.9,35.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.3,2.0,5.0,100.0,2.0,4.0,2.5,39.9,33.8,1.2
Time taken: 87.23222231864929 seconds
runbreak
2023-09-27_06:38:42,27.8,29.8,67.0,41.0,40.0,40.0,38.0,67.0,39.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,39.5,44.4,42.9,14.3,0.0,100.0,28.6,51.5,46.0,1.3
2023-09-27_06:38:44,27.8,29.8,70.0,37.0,35.0,40.0,35.0,70.0,38.0,35.9,35.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.6,3.9,2.5,4.3,2.9,100.0,3.4,39.2,33.2,1.2
2023-09-27_06:38:46,27.8,29.8,70.0,37.0,36.0,40.0,35.0,70.0,38.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.4,1.5,2.5,4.0,7.4,100.0,0.5,39.3,33.2,1.2
2023-09-27_06:38:48,27.8,29.8,70.0,37.0,36.0,40.0,36.0,70.0,38.0,35.9,35.9,50.9,4.6,4.8,4.8,4.8,3.7,4.8,4.8,19.9,2.0,4.0,5.9,4.4,100.0,3.5,39.7,33.7,1.2
2023-09-27_06:38:50,27.8,29.8,71.0,38.0,36.0,49.0,36.0,71.0,39.0,35.9,35.9,50.9,4.6,4.8,4.8,4.8,3.7,4.8,4.8,20.4,3.9,3.5,4.9,7.3,100.0,2.0,39.9,33.8,1.2
2023-09-27_06:38:52,27.8,29.8,70.0,38.0,36.0,40.0,36.0,70.0,39.0,35.9,35.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,20.0,1.5,8.8,2.0,3.9,100.0,4.0,40.0,34.0,1.2
2023-09-27_06:38:54,27.8,29.8,70.0,38.0,36.0,40.0,36.0,70.0,39.0,35.9,35.9,50.9,4.6,4.8,4.8,4.8,4.8,4.8,3.7,20.5,1.5,6.0,4.0,5.4,100.0,5.9,40.5,34.4,1.2
2023-09-27_06:38:56,27.8,29.8,70.0,37.0,36.0,39.0,35.0,70.0,38.0,35.9,35.9,48.9,4.6,4.8,4.8,4.8,4.8,4.8,3.7,20.4,2.5,2.5,6.9,4.9,100.0,5.4,40.0,34.0,1.2
2023-09-27_06:38:58,27.8,29.8,70.0,37.0,36.0,40.0,36.0,70.0,38.0,35.9,35.9,50.9,4.6,4.8,4.8,4.8,3.7,4.8,4.8,20.9,3.0,4.0,11.4,5.4,100.0,1.5,40.7,34.6,1.2
2023-09-27_06:39:00,27.8,29.8,70.0,37.0,36.0,39.0,36.0,70.0,39.0,35.9,35.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,20.9,3.9,7.9,3.4,6.5,100.0,4.0,40.9,34.8,1.2
2023-09-27_06:39:02,27.8,29.8,70.0,37.0,37.0,40.0,40.0,70.0,39.0,35.9,35.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.7,3.5,3.5,5.9,2.5,100.0,1.5,39.9,33.8,1.2
Time taken: 86.82715201377869 seconds
runbreak
2023-09-27_06:40:09,27.8,29.8,73.0,47.0,42.0,46.0,48.0,74.0,44.0,34.9,34.9,46.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,30.6,33.3,14.3,14.3,33.3,100.0,0.0,46.9,40.4,1.2
2023-09-27_06:40:11,27.8,29.8,70.0,38.0,37.0,39.0,37.0,70.0,40.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.4,4.9,2.0,2.0,2.9,100.0,3.4,39.2,33.2,1.2
2023-09-27_06:40:13,27.8,29.8,72.0,39.0,37.0,46.0,37.0,72.0,42.0,34.9,34.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.1,0.5,2.5,6.4,3.0,100.0,2.5,39.1,33.0,1.2
2023-09-27_06:40:15,27.8,29.8,71.0,40.0,37.0,40.0,37.0,71.0,40.0,34.9,34.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,23.1,4.0,12.6,10.9,2.5,100.0,7.0,43.3,39.5,1.2
2023-09-27_06:40:17,27.8,29.8,71.0,42.0,37.0,40.0,36.0,71.0,39.0,34.9,34.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.7,2.0,3.0,3.4,1.5,100.0,2.5,35.5,33.2,1.2
2023-09-27_06:40:19,27.8,29.8,72.0,40.0,38.0,41.0,37.0,71.0,40.0,34.9,34.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,36.3,26.5,22.7,26.7,21.3,100.0,21.0,52.9,50.7,1.5
2023-09-27_06:40:21,27.8,29.8,72.0,39.0,37.0,40.0,36.0,71.0,38.0,34.9,34.9,47.9,4.6,4.8,4.8,4.8,4.8,4.8,3.7,18.3,2.5,2.0,0.5,1.0,100.0,2.9,34.6,32.4,1.2
2023-09-27_06:40:23,27.8,29.8,71.0,38.0,37.0,40.0,36.0,71.0,39.0,34.9,34.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.0,1.5,1.5,2.0,0.5,100.0,1.5,34.1,31.9,1.2
2023-09-27_06:40:25,27.8,29.8,70.0,38.0,37.0,48.0,35.0,70.0,40.0,34.9,34.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,17.8,1.5,0.5,2.0,1.0,100.0,2.9,34.1,31.8,1.2
2023-09-27_06:40:27,27.8,29.8,70.0,39.0,37.0,40.0,36.0,70.0,39.0,34.9,34.9,47.9,4.6,4.8,3.7,4.8,4.8,4.8,4.8,17.9,1.0,1.5,1.5,1.0,100.0,1.5,34.2,32.0,1.2
2023-09-27_06:40:29,27.8,29.8,71.0,40.0,37.0,40.0,36.0,70.0,39.0,34.9,34.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,17.9,2.5,2.0,1.0,0.5,100.0,0.5,34.2,31.9,1.2
Time taken: 86.43564438819885 seconds
runbreak
2023-09-27_06:41:35,27.8,29.8,71.0,43.0,42.0,45.0,43.0,44.0,72.0,34.9,34.9,46.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,31.6,0.0,0.0,57.1,0.0,14.3,100.0,45.3,39.2,1.2
