Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Pch_Skylake,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Fan:cpu_fan,Fan:gpu_fan
2023-11-14_20:54:42,78.0,79.0,57.0,79.0,55.0,58.0,28.0,37.5,3202.2,3579.8,3769.8,2800.0,2800.0,3506.9,2800.0,2800.0,3561.5,12.8,1.0,100.0,0.0,0.5,0.5,0.5,0.0,0.0,4800,0
2023-11-14_20:54:44,79.0,79.0,56.0,79.0,55.0,58.0,28.0,37.5,3291.8,3588.6,2800.0,3521.8,2800.0,3507.6,3768.8,3547.5,2800.0,12.9,1.5,3.9,0.0,0.0,0.5,96.1,0.5,0.0,5000,0
2023-11-14_20:54:46,79.0,80.0,57.0,80.0,55.0,58.0,28.0,37.5,3234.2,3585.7,3704.9,2800.0,3511.2,2800.0,3693.0,2800.0,3544.0,13.0,1.9,0.0,0.5,0.0,0.5,100.0,0.0,0.5,5000,0
run6 Time taken: 126.5739815235138 seconds
2023-11-14_20:56:55,75.0,76.0,76.0,59.0,66.0,68.0,28.0,38.0,3383.8,3772.1,3525.6,3539.2,2800.0,3560.3,3586.7,2800.0,3486.4,35.5,90.0,20.5,25.6,72.5,12.8,5.1,30.8,25.6,4200,0
2023-11-14_20:56:57,86.0,85.0,85.0,58.0,60.0,56.0,28.0,37.5,3367.8,3662.8,3581.0,3485.6,3515.7,2800.0,3578.6,2800.0,3518.8,13.2,100.0,2.7,0.9,0.0,0.5,0.9,0.5,0.5,4300,0
2023-11-14_20:56:59,87.0,87.0,87.0,58.0,60.0,56.0,28.0,38.0,3121.2,3788.7,2800.0,3590.8,2800.0,2800.0,2800.0,3589.9,2800.0,12.8,52.4,0.5,0.5,0.5,47.4,0.5,0.0,0.5,4500,0
2023-11-14_20:57:01,86.0,87.0,87.0,58.0,61.0,57.0,28.0,38.0,3355.0,3774.2,3401.2,3532.4,3463.9,2800.0,2800.0,3551.6,3516.4,12.8,92.2,2.0,0.0,0.0,7.8,0.0,1.0,0.0,4800,0
2023-11-14_20:57:03,87.0,86.0,86.0,58.0,60.0,56.0,28.0,37.5,3473.6,3781.8,3428.6,3546.1,3471.8,3623.5,3564.3,3572.6,2800.0,13.0,100.0,2.0,0.0,0.0,0.5,0.0,1.0,0.0,5200,0
2023-11-14_20:57:05,87.0,87.0,87.0,58.0,61.0,57.0,28.0,38.0,3391.0,3756.5,3589.5,3573.2,3469.7,2800.0,3580.5,3558.7,2800.0,13.0,100.0,1.4,0.9,0.0,0.5,0.5,0.5,0.5,5400,0
2023-11-14_20:57:07,87.0,88.0,88.0,58.0,60.0,56.0,28.0,37.5,3314.9,3621.8,3586.9,2800.0,2800.0,3755.4,3581.3,3573.6,2800.0,13.0,74.6,1.9,0.0,0.0,25.5,0.5,0.0,1.0,5600,0
2023-11-14_20:57:09,87.0,87.0,87.0,59.0,60.0,57.0,28.0,38.0,3217.6,3774.2,3590.3,2800.0,2800.0,2800.0,3600.2,2800.0,3575.9,12.9,11.3,1.5,0.5,0.5,88.8,0.5,1.0,0.0,5700,0
2023-11-14_20:57:12,87.0,88.0,88.0,58.0,61.0,57.0,28.0,38.0,3298.5,3682.0,3572.1,3480.8,2800.0,3735.9,2800.0,2800.0,3565.2,13.0,100.0,0.5,0.0,0.9,0.0,1.4,0.9,0.5,5800,0
2023-11-14_20:57:14,87.0,87.0,87.0,59.0,61.0,57.0,28.0,38.0,3264.8,3696.4,3581.0,2800.0,2800.0,2800.0,3550.9,3399.4,3514.3,12.9,100.0,1.9,0.0,0.0,0.0,0.0,0.0,0.5,5900,0
run7 Time taken: 124.48540663719177 seconds
2023-11-14_20:59:44,59.0,76.0,55.0,53.0,76.0,52.0,28.0,37.5,3278.7,3501.1,3503.3,3781.6,2800.0,2800.0,3501.1,2800.0,3542.7,15.7,10.3,8.3,100.0,0.0,1.8,0.0,0.0,0.0,4800,0
2023-11-14_20:59:46,79.0,79.0,57.0,52.0,79.0,53.0,28.0,37.5,3286.7,3588.9,3537.1,3672.8,3545.3,2800.0,3549.5,2800.0,2800.0,12.9,0.0,2.0,100.0,0.5,0.0,0.0,0.0,0.5,4800,0
2023-11-14_20:59:48,79.0,81.0,55.0,52.0,81.0,53.0,28.0,37.5,3361.4,3581.7,3489.1,3705.2,3551.7,2800.0,3483.5,2800.0,3544.4,12.8,1.4,0.9,72.9,0.0,0.5,0.0,27.1,0.5,4900,0
